'NDB_No','FdGrp_Cd','Long_Desc','Shrt_Desc','ComName','ManufacName','Survey','Ref_desc','Refuse','SciName','N_Factor','Pro_Factor','Fat_Factor','CHO_Factor'
'01001','0100','Butter WM  salted','BUTTER WM WITH SALT',,,'Y',,0,,6.38,4.27,8.79,3.87
'01002','0100','Butter WM  whipped WM  with salt','BUTTER WM WHIPPED WM W/ SALT',,,'Y',,0,,6.38,,,
'01003','0100','Butter oil WM  anhydrous','BUTTER OIL WM ANHYDROUS',,,'Y',,0,,6.38,4.27,8.79,3.87
'01004','0100','Cheese WM  blue','CHEESE WM BLUE',,,'Y',,0,,6.38,4.27,8.79,3.87
'01005','0100','Cheese WM  brick','CHEESE WM BRICK',,,'Y',,0,,6.38,4.27,8.79,3.87
'01006','0100','Cheese WM  brie','CHEESE WM BRIE',,,'Y',,0,,6.38,4.27,8.79,3.87
'01007','0100','Cheese WM  camembert','CHEESE WM CAMEMBERT',,,'Y',,0,,6.38,4.27,8.79,3.87
'01008','0100','Cheese WM  caraway','CHEESE WM CARAWAY',,,,,0,,6.38,4.27,8.79,3.87
'01009','0100','Cheese WM  cheddar (Includes foods for USDAs Food Distribution Program)','CHEESE WM CHEDDAR',,,'Y',,0,,,,,
'01010','0100','Cheese WM  cheshire','CHEESE WM CHESHIRE',,,,,0,,6.38,4.27,8.79,3.87
'01011','0100','Cheese WM  colby','CHEESE WM COLBY',,,'Y',,0,,6.38,4.27,8.79,3.87
'01012','0100','Cheese WM  cottage WM  creamed WM  large or small curd','CHEESE WM COTTAGE WM CRMD WM LRG OR SML CURD',,,'Y',,0,,6.38,4.27,8.79,3.87
'01013','0100','Cheese WM  cottage WM  creamed WM  with fruit','CHEESE WM COTTAGE WM CRMD WM W/FRUIT',,,'Y',,0,,6.38,4.27,8.79,3.87
'01014','0100','Cheese WM  cottage WM  nonfat WM  uncreamed WM  dry WM  large or small curd','CHEESE WM COTTAGE WM NONFAT WM UNCRMD WM DRY WM LRG OR SML CURD',,,'Y',,0,,6.38,4.27,8.79,3.87
'01015','0100','Cheese WM  cottage WM  lowfat WM  2% milkfat','CHEESE WM COTTAGE WM LOWFAT WM 2% MILKFAT',,,'Y',,0,,6.38,,,
'01016','0100','Cheese WM  cottage WM  lowfat WM  1% milkfat','CHEESE WM COTTAGE WM LOWFAT WM 1% MILKFAT',,,'Y',,0,,6.38,4.27,8.79,3.87
'01017','0100','Cheese WM  cream','CHEESE WM CREAM',,,'Y',,0,,6.38,4.27,8.79,3.87
'01018','0100','Cheese WM  edam','CHEESE WM EDAM',,,'Y',,0,,6.38,4.27,8.79,3.87
'01019','0100','Cheese WM  feta','CHEESE WM FETA',,,'Y',,0,,6.38,4.27,8.79,3.87
'01020','0100','Cheese WM  fontina','CHEESE WM FONTINA',,,'Y',,0,,6.38,4.27,8.79,3.87
'01021','0100','Cheese WM  gjetost','CHEESE WM GJETOST',,,,,0,,6.38,4.27,8.79,3.87
'01022','0100','Cheese WM  gouda','CHEESE WM GOUDA',,,'Y',,0,,6.38,4.27,8.79,3.87
'01023','0100','Cheese WM  gruyere','CHEESE WM GRUYERE',,,'Y',,0,,6.38,4.27,8.79,3.87
'01024','0100','Cheese WM  limburger','CHEESE WM LIMBURGER',,,'Y',,0,,6.38,4.27,8.79,3.87
'01025','0100','Cheese WM  monterey','CHEESE WM MONTEREY',,,'Y',,0,,6.38,4.27,8.79,3.87
'01026','0100','Cheese WM  mozzarella WM  whole milk','CHEESE WM MOZZARELLA WM WHL MILK',,,'Y',,0,,6.38,4.27,8.79,3.87
'01027','0100','Cheese WM  mozzarella WM  whole milk WM  low moisture','CHEESE WM MOZZARELLA WM WHL MILK WM LO MOIST',,,'Y',,0,,6.38,4.27,8.79,3.87
'01028','0100','Cheese WM  mozzarella WM  part skim milk','CHEESE WM MOZZARELLA WM PART SKIM MILK',,,'Y',,0,,6.38,4.27,8.79,3.87
'01029','0100','Cheese WM  mozzarella WM  low moisture WM  part-skim','CHEESE WM MOZZARELLA WM LO MOIST WM PART-SKIM',,,'Y',,0,,6.38,,,
'01030','0100','Cheese WM  muenster','CHEESE WM MUENSTER',,,'Y',,0,,6.38,4.27,8.79,3.87
'01031','0100','Cheese WM  neufchatel','CHEESE WM NEUFCHATEL',,,,,0,,6.38,4.27,8.79,3.87
'01032','0100','Cheese WM  parmesan WM  grated','CHEESE WM PARMESAN WM GRATED',,,'Y',,0,,6.38,4.27,8.79,3.87
'01033','0100','Cheese WM  parmesan WM  hard','CHEESE WM PARMESAN WM HARD',,,'Y',,0,,6.38,4.27,8.79,3.87
'01034','0100','Cheese WM  port de salut','CHEESE WM PORT DE SALUT',,,'Y',,0,,6.38,4.27,8.79,3.87
'01035','0100','Cheese WM  provolone','CHEESE WM PROVOLONE',,,'Y',,0,,6.38,4.27,8.79,3.87
'01036','0100','Cheese WM  ricotta WM  whole milk','CHEESE WM RICOTTA WM WHOLE MILK',,,'Y',,0,,6.38,4.27,8.79,3.87
'01037','0100','Cheese WM  ricotta WM  part skim milk','CHEESE WM RICOTTA WM PART SKIM MILK',,,'Y',,0,,6.38,4.27,8.79,3.87
'01038','0100','Cheese WM  romano','CHEESE WM ROMANO',,,'Y',,0,,6.38,4.27,8.79,3.87
'01039','0100','Cheese WM  roquefort','CHEESE WM ROQUEFORT',,,,,0,,6.38,4.27,8.79,3.87
'01040','0100','Cheese WM  swiss','CHEESE WM SWISS',,,'Y',,0,,6.38,4.27,8.79,3.87
'01041','0100','Cheese WM  tilsit','CHEESE WM TILSIT',,,,,0,,6.38,4.27,8.79,3.87
'01042','0100','Cheese WM  pasteurized process WM  American WM  fortified with vitamin D','CHEESE WM PAST PROCESS WM AMERICAN WM FORT W/ VITAMIN D',,,'Y',,0,,6.38,4.27,8.79,3.87
'01043','0100','Cheese WM  pasteurized process WM  pimento','CHEESE WM PAST PROCESS WM PIMENTO',,,'Y',,0,,6.38,4.27,8.79,3.87
'01044','0100','Cheese WM  pasteurized process WM  swiss','CHEESE WM PAST PROCESS WM SWISS',,,'Y',,0,,6.38,4.27,8.79,3.87
